code,name,reason
334970,프레스티지바이오로직스,Error on calculate_srim : could not convert string to float: '완전잠식'
300080,플리토,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
347740,피엔케이피부임상연구센타,Error on calculate_srim : not enough ROE history
368770,한국9호스팩,분석 제외 대상
060560,홈센타홀딩스,분석 제외 대상
224880,SGA클라우드서비스,Error on calculate_srim : could not convert string to float: '완전잠식'
236340,메디젠휴먼케어,Error on calculate_srim : could not convert string to float: '완전잠식'
288490,나라소프트,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
122830,원포유,Error on calculate_srim : not enough ROE history
344860,이노진,Error on calculate_srim : not enough ROE history
222670,플럼라인생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
331660,한국미라클피플사,Error on calculate_srim : not enough ROE history
