code,name,reason
216080,제테마,Error on calculate_srim : could not convert string to float: '완전잠식'
270520,지엔원에너지,Error on calculate_srim : not enough ROE history
347140,케이프이에스제4호,Error on parse_fnguide : Neither IFRS(연결) nor GAAP(연결)
300080,플리토,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
347740,피엔케이피부임상연구센타,Error on calculate_srim : not enough ROE history
224880,SGA클라우드서비스,Error on calculate_srim : could not convert string to float: '완전잠식'
288490,나라소프트,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
348840,데이드림엔터,Error on calculate_srim : not enough ROE history
236340,메디젠휴먼케어,Error on calculate_srim : could not convert string to float: '완전잠식'
223220,아이피몬스터,Error on calculate_srim : could not convert string to float: '완전잠식'
344860,이노진,Error on calculate_srim : not enough ROE history
222670,플럼라인생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
239890,피엔에이치테크,Error on calculate_srim : not enough ROE history
331660,한국미라클피플사,Error on calculate_srim : not enough ROE history
