code,name,현재가,매수가격,적정가격,매도가격,매수가격예상수익률(%),적정가격예상수익률(%),매도가격예상수익률(%),ROE(%),ROE기준,배당수익률(%),배당성향(%),CF위험(회),CF이익비율-3,CF이익비율-2,CF이익비율-1,CF이익비율0,업종,주요제품
078000,텔코웨어,12000,10063,9019,5343,-16.14,-24.84,-55.48,3.7,2022/12(E),4.14,124.72,1,1.88,1.38,-0.18,-0.2,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역"
036580,팜스코,4795,5533,3693,-2787,15.38,-22.98,-158.12,-2.77,2019/12,1.09,-22.22,1,1.0,-1.62,0.7,0.27,"곡물가공품, 전분 및 전분제품 제조업","배합사료 제조,도매"
016800,퍼시스,29700,39422,40040,42218,32.73,34.82,42.15,8.67,2019/12,3.39,33.86,0,0.96,1.89,0.94,NaN,가구 제조업,"사무용 가구,의자,책상,캐비넷 제조"
003670,포스코케미칼,84600,16506,16618,17016,-80.49,-80.36,-79.89,8.25,2022/12(E),0.81,23.92,0,0.53,0.8,0.7,0.27,"내화, 비내화 요업제품 제조업","내화물, 생석회, 음극재 및 양극재"
071090,하이스틸,16100,48016,36101,-5864,198.24,124.23,-136.43,-0.73,2019/12,0.52,625.0,2,-0.16,-2.52,-2.18,-4.44,1차 철강 제조업,"강관 제조,도매"
000080,하이트진로,32950,16454,17934,23147,-50.06,-45.57,-29.75,12.67,2022/12(E),2.41,-117.85,0,3.96,1.56,0.32,2.1,알코올음료 제조업,소주
004090,한국석유공업,93300,131818,71372,-141523,41.28,-23.5,-251.69,-5.29,2019/12,1.45,-12.95,1,0.44,-1.07,3.52,1.34,기타 비금속 광물제품 제조업,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대"
002200,한국수출포장공업,20400,58389,55710,46274,186.22,173.09,126.83,5.92,2019/12,3.03,13.32,0,1.13,1.82,1.67,1.52,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매"
123890,한국자산신탁,4060,6140,6741,8861,51.22,66.05,118.26,13.16,2022/12(E),5.4,25.17,3,-0.71,-1.22,-0.79,2.94,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs"
025890,한국주강,1600,-659,-3297,-12588,-141.17,-306.05,-886.76,-35.06,2019/12,NaN,-0.0,0,1.38,0.34,-0.06,NaN,특수 목적용 기계 제조업,"주강,주물 제조,도매"
008930,한미사이언스,55100,8692,7872,4983,-84.23,-85.71,-90.96,4.04,2019/12,0.51,42.06,1,-2.41,0.25,0.81,0.75,기타 금융업,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매"
009240,한샘,97300,29649,32986,44738,-69.53,-66.1,-54.02,14.07,2022/12(E),1.93,66.12,0,0.47,1.14,1.42,2.76,생활용품 도매업,"주방가구(씽크대),인테리어가구 판매,제조/주택신축판매"
011700,한신기계공업,1710,2073,1755,633,21.24,2.61,-63.0,2.01,2019/12,0.9,30.0,1,-0.42,0.58,0.14,1.6,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파"
000880,한화,26800,48356,50733,59105,80.43,89.3,120.54,10.37,2022/12(E),2.8,76.17,0,2.38,1.52,2.24,1.39,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고"
012450,한화에어로스페이스,27300,46164,43952,36162,69.1,61.0,32.46,5.84,2022/12(E),NaN,0.0,1,-0.12,1.06,4.33,5.23,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업"
005380,현대자동차,181000,251986,251223,248534,39.22,38.8,37.31,7.79,2022/12(E),3.32,37.17,0,0.86,1.55,0.12,1.94,자동차용 엔진 및 자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업"
126560,현대퓨처넷,3260,6054,5666,4299,85.69,73.79,31.88,5.19,2019/12,1.76,17.91,0,1.77,1.35,2.02,1.89,텔레비전 방송업,방송업
